Date,Opponent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone
1/21/23,Univ. of Massachusetts,0,0,0,1,1,0,2,4,0,3,6,0,1,4,0,2,3,0,1,1,0,0,0,0,0,0,0
1/20/23,Univ. of Massachusetts,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1/14/23,Northeastern Huskies,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1/7/23,Northeastern Huskies,0,0,0,1,2,0,0,0,0,1,2,0,0,1,0,1,1,0,1,2,0,2,2,0,0,0,0
12/31/22,Long Island University Sharks,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12/29/22,Long Island University Sharks,0,0,0,0,0,0,0,1,0,2,2,2,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0
12/11/22,Boston University Terriers,0,0,0,1,1,1,0,1,0,3,5,1,2,3,0,0,0,0,2,4,0,0,0,0,0,0,0
12/2/22,Merrimack Warriors,0,0,0,2,2,0,0,0,0,2,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
11/29/22,Merrimack Warriors,0,0,0,1,2,1,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26/22,Cornell Big Red,0,0,0,0,1,0,0,2,0,2,3,0,0,2,0,0,2,0,1,1,0,1,1,0,0,0,0
11/19/22,UMass-Lowell River Hawks,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0
11/18/22,UMass-Lowell River Hawks,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11/12/22,Providence Friars,0,0,0,2,2,0,0,1,0,2,2,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0
11/11/22,Providence Friars,0,0,0,3,3,1,2,2,0,2,7,0,0,3,0,0,0,0,1,3,0,0,1,0,0,0,0
11/5/22,Maine Black Bears,0,0,0,0,0,0,0,2,0,2,3,0,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0
11/4/22,Maine Black Bears,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0
10/27/22,Boston College Eagles,0,0,0,4,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10/22/22,Boston University Terriers,0,0,0,2,2,2,2,2,0,1,8,1,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0
10/21/22,Boston University Terriers,0,0,0,4,6,1,2,3,0,1,5,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0
10/15/22,Ohio State Buckeyes,0,0,0,2,2,0,0,0,0,1,2,0,1,1,0,0,0,0,1,4,0,1,1,0,0,0,0
10/14/22,Ohio State Buckeyes,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
10/8/22,Union Dutchmen,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
