Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2023-01-21,Univ. of Massachusetts,3.0,1.0,1,1,0,50.0,55.6,0,0,0,1,1,0,2,4,0,3,6,0,1,4,0,2,3,0,1,1,0,0,0,0,0,0,0,58.06,8.06,14.52
2023-01-14,Northeastern Huskies,3.0,4.0,1,0,1,50.0,57.1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,52.77,6.27,11.81
2023-01-07,Northeastern Huskies,1.0,4.0,0,0,0,40.0,33.3,0,0,0,1,2,0,0,0,0,1,2,0,0,1,0,1,1,0,1,2,0,2,2,0,0,0,0,59.44,5.56,9.44
2022-12-29,Long Island University Sharks,2.0,1.0,0,1,1,50.0,50.0,0,0,0,0,0,0,0,1,0,2,2,2,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,61.09,5.84,7.39
2022-12-11,Boston University Terriers,2.0,3.0,1,0,0,83.3,60.0,0,0,0,1,1,1,0,1,0,3,5,1,2,3,0,0,0,0,2,4,0,0,0,0,0,0,0,53.91,6.77,16.91
2022-12-02,Merrimack Warriors,3.0,7.0,1,0,1,75.0,80.0,0,0,0,2,2,0,0,0,0,2,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,56.93,7.23,9.64
2022-11-29,Merrimack Warriors,3.0,1.0,0,1,1,66.7,80.0,0,0,0,1,2,1,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.35,5.26,10.9
2022-11-26,Cornell Big Red,0.0,6.0,0,0,0,20.0,25.0,0,0,0,0,1,0,0,2,0,2,3,0,0,2,0,0,2,0,1,1,0,1,1,0,0,0,0,51.57,10.17,14.77
2022-11-19,UMass-Lowell River Hawks,4.0,2.0,1,1,0,60.0,71.4,0,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,47.78,7.78,23.61
2022-11-12,Providence Friars,7.0,6.0,1,1,0,62.5,72.7,0,0,0,2,2,0,0,1,0,2,2,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,56.07,6.66,13.48
2022-11-11,Providence Friars,2.0,1.0,0,1,1,33.3,33.3,0,0,0,3,3,1,2,2,0,2,7,0,0,3,0,0,0,0,1,3,0,0,1,0,0,0,0,58.0,5.39,15.22
2022-11-05,Maine Black Bears,3.0,2.0,1,1,0,71.4,75.0,0,0,0,0,0,0,0,2,0,2,3,0,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,54.17,6.11,16.39
2022-11-04,Maine Black Bears,3.0,2.0,1,1,0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,47.78,7.5,10.0
2022-10-27,Boston College Eagles,5.0,1.0,1,1,0,60.0,57.1,0,0,0,4,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,55.31,10.26,14.29
2022-10-22,Boston University Terriers,2.0,5.0,0,0,1,75.0,83.3,0,0,0,2,2,2,2,2,0,1,8,1,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0,65.06,8.35,8.61
2022-10-21,Boston University Terriers,4.0,3.0,0,1,1,50.0,50.0,0,0,0,4,6,1,2,3,0,1,5,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,65.95,7.59,12.06
2022-10-15,Ohio State Buckeyes,6.0,1.0,1,1,0,50.0,60.0,0,0,0,2,2,0,0,0,0,1,2,0,1,1,0,0,0,0,1,4,0,1,1,0,0,0,0,46.27,13.88,17.48
